id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;31-12-01 00:00:00;4.981,31813172
S;Sul;31-12-01 00:00:00;6.604,43801075
SE;Sudeste/Centro-Oeste;31-12-01 00:00:00;21.349,00794355
N;Norte;31-01-02 00:00:00;2.169,83467742
NE;Nordeste;31-01-02 00:00:00;4.918,06663978
S;Sul;31-01-02 00:00:00;6.691,20560476
SE;Sudeste/Centro-Oeste;31-01-02 00:00:00;22.719,87901889
N;Norte;28-02-02 00:00:00;2.179,53020833
NE;Nordeste;28-02-02 00:00:00;5.247,67956845
S;Sul;28-02-02 00:00:00;6.813,44180107
SE;Sudeste/Centro-Oeste;28-02-02 00:00:00;23.452,70220191
N;Norte;31-03-02 00:00:00;2.306,49932796
NE;Nordeste;31-03-02 00:00:00;5.378,06142473
S;Sul;31-03-02 00:00:00;7.129,67801090
SE;Sudeste/Centro-Oeste;31-03-02 00:00:00;25.133,20122297
N;Norte;30-04-02 00:00:00;2.495,56513889
NE;Nordeste;30-04-02 00:00:00;5.567,26771250
S;Sul;30-04-02 00:00:00;6.905,07129149
SE;Sudeste/Centro-Oeste;30-04-02 00:00:00;25.772,85000018
N;Norte;31-05-02 00:00:00;2.282,07983871
NE;Nordeste;31-05-02 00:00:00;5.512,95323522
S;Sul;31-05-02 00:00:00;6.579,32120976
SE;Sudeste/Centro-Oeste;31-05-02 00:00:00;24.774,47123648
N;Norte;30-06-02 00:00:00;2.297,15750000
NE;Nordeste;30-06-02 00:00:00;5.424,85994178
S;Sul;30-06-02 00:00:00;6.527,41726437
SE;Sudeste/Centro-Oeste;30-06-02 00:00:00;24.626,89848563
N;Norte;31-07-02 00:00:00;2.369,90497312
NE;Nordeste;31-07-02 00:00:00;5.557,56037634
S;Sul;31-07-02 00:00:00;6.502,23667174
SE;Sudeste/Centro-Oeste;31-07-02 00:00:00;24.237,84665085
N;Norte;31-08-02 00:00:00;2.439,60900538
NE;Nordeste;31-08-02 00:00:00;5.667,05087366
S;Sul;31-08-02 00:00:00;6.567,43080619
SE;Sudeste/Centro-Oeste;31-08-02 00:00:00;25.149,89240725
N;Norte;30-09-02 00:00:00;2.347,17861111
NE;Nordeste;30-09-02 00:00:00;5.847,86726389
S;Sul;30-09-02 00:00:00;6.394,49859691
SE;Sudeste/Centro-Oeste;30-09-02 00:00:00;24.970,46791698
N;Norte;31-10-02 00:00:00;2.267,89946237
NE;Nordeste;31-10-02 00:00:00;6.085,97983719
S;Sul;31-10-02 00:00:00;6.806,03616927
SE;Sudeste/Centro-Oeste;31-10-02 00:00:00;27.126,00813181
N;Norte;30-11-02 00:00:00;2.313,47527778
NE;Nordeste;30-11-02 00:00:00;6.180,76838889
S;Sul;30-11-02 00:00:00;6.741,83263847
SE;Sudeste/Centro-Oeste;30-11-02 00:00:00;26.383,89659765
